关键词,编码,品目名称
其他隧道工程施工,B02089900,其他隧道工程施工
水利工程施工,B02090000,水利工程施工
水利枢纽工程施工,B02090100,水利枢纽工程施工
堤坝工程施工,B02090200,堤坝工程施工
城市防洪工程施工,B02090300,城市防洪工程施工
疏浚工程施工,B02090400,疏浚工程施工
滞蓄洪区工程施工,B02090500,滞蓄洪区工程施工
橡胶坝拦河工程施工,B02090600,橡胶坝拦河工程施工
山洪防御工程施工,B02090700,山洪防御工程施工
水库工程施工,B02090800,水库工程施工
引水河渠工程施工,B02090900,引水河渠工程施工
灌溉排水工程施工,B02091000,灌溉排水工程施工
雨水利用工程施工,B02091100,雨水利用工程施工
再生水利用工程施工,B02091200,再生水利用工程施工
其他水利工程施工,B02099900,其他水利工程施工
水运工程施工,B02100000,水运工程施工
港口工程施工,B02100100,港口工程施工
航道工程施工,B02100200,航道工程施工
其他水运工程施工,B02109900,其他水运工程施工
海洋工程施工,B02110000,海洋工程施工
围海造地工程施工,B02110100,围海造地工程施工
防侵蚀工程施工,B02110200,防侵蚀工程施工
海堤工程施工,B02110300,海堤工程施工
护岸护滩工程施工,B02110400,护岸护滩工程施工
海洋景观工程施工,B02110500,海洋景观工程施工
滨海污水海洋处理工程施工,B02110600,滨海污水海洋处理工程施工
海洋平台工程施工,B02110700,海洋平台工程施工
人工岛屿工程施工,B02110800,人工岛屿工程施工
人工鱼礁工程施工,B02110900,人工鱼礁工程施工
其他海洋工程施工,B02119900,其他海洋工程施工
矿山、工农林牧渔业工程施工,B02120000,矿山、工农林牧渔业工程施工
矿山施工,B02120100,矿山施工
工厂工程施工,B02120200,工厂工程施工
火电设备工程施工,B02120201,火电设备工程施工
核工程施工,B02120202,核工程施工
炉窑工程施工,B02120203,炉窑工程施工
冶炼机电设备工程施工,B02120204,冶炼机电设备工程施工
石油化工设备工程施工,B02120205,石油化工设备工程施工
海洋石油工程施工,B02120206,海洋石油工程施工
无损检测工程施工,B02120207,无损检测工程施工
防腐保温工程施工,B02120208,防腐保温工程施工
其他工矿工程施工,B02120299,其他工矿工程施工
其他农林牧渔业工程施工,B02129900,其他农林牧渔业工程施工
公共设施施工,B02130000,公共设施施工
市政公用设施施工,B02130100,市政公用设施施工
市内燃气管道铺设,B02130101,市内燃气管道铺设
市内供暖（冷）管道铺设,B02130102,市内供暖（冷）管道铺设
市内供水管道铺设,B02130103,市内供水管道铺设
市内电缆工程铺设,B02130104,市内电缆工程铺设
市内通信线路铺设,B02130105,市内通信线路铺设
其他市政公用设施施工,B02130199,其他市政公用设施施工
长距离管道铺设,B02130200,长距离管道铺设
长距离输油管道铺设,B02130201,长距离输油管道铺设
长距离输气管道铺设,B02130202,长距离输气管道铺设
长距离输水管道铺设,B02130203,长距离输水管道铺设
其他长距离管道铺设,B02130299,其他长距离管道铺设
长距离通信和电力线路（电缆）铺设,B02130300,长距离通信和电力线路（电缆）铺设
长距离通信线路铺设,B02130301,长距离通信线路铺设
长距离电力线路（电缆）铺设,B02130302,长距离电力线路（电缆）铺设
室外体育和娱乐设施工程施工,B02130400,室外体育和娱乐设施工程施工
园林绿化工程施工,B02130500,园林绿化工程施工
其他公共设施施工,B02139900,其他公共设施施工
环保工程施工,B02140000,环保工程施工
污水处理工程施工,B02140100,污水处理工程施工
固定废物处理工程施工,B02140200,固定废物处理工程施工
土地绿化工程施工,B02140300,土地绿化工程施工
防沙治沙工程施工,B02140400,防沙治沙工程施工
江河湖泊治理工程施工,B02140500,江河湖泊治理工程施工
湿地保护工程施工,B02140600,湿地保护工程施工
天然林保护工程施工,B02140700,天然林保护工程施工
其他环保工程施工,B02149900,其他环保工程施工
高耸构筑物施工,B02150000,高耸构筑物施工
其他构筑物工程施工,B02990000,其他构筑物工程施工
施工工程准备,B03000000,施工工程准备
工地平整和清理,B03010000,工地平整和清理
土石方工程,B03020000,土石方工程
拆除工程,B03030000,拆除工程
工程排水施工,B03040000,工程排水施工
其他工程准备,B03990000,其他工程准备
预制构件组装和装配,B04000000,预制构件组装和装配
房屋预制构件组装和装配,B04010000,房屋预制构件组装和装配
铁路预制构件组装和装配,B04020000,铁路预制构件组装和装配
隧道预制构件组装和装配,B04030000,隧道预制构件组装和装配
桥梁预制构件组装和装配,B04040000,桥梁预制构件组装和装配
水利、港口预制构件组装和装配,B04050000,水利、港口预制构件组装和装配
工矿预制构件组装和装配,B04060000,工矿预制构件组装和装配
架线、管道预制构件组装和装配,B04070000,架线、管道预制构件组装和装配
其他预制构件组装和装配,B04990000,其他预制构件组装和装配
专业施工,B05000000,专业施工
地基和基础工程,B05010000,地基和基础工程
建筑物构架工程,B05020000,建筑物构架工程
屋顶构架工程,B05030000,屋顶构架工程
防水工程,B05040000,防水工程
防腐保温工程,B05050000,防腐保温工程
混凝土工程,B05060000,混凝土工程
钢结构工程,B05070000,钢结构工程
砖石工程,B05080000,砖石工程
脚手架工程,B05090000,脚手架工程
消防工程和安防工程,B05100000,消防工程和安防工程
建筑幕墙工程,B05110000,建筑幕墙工程
其他专业施工,B05990000,其他专业施工
安装工程,B06000000,安装工程
电子工程安装,B06010000,电子工程安装
雷达、导航和测控系统工程安装,B06010100,雷达、导航和测控系统工程安装
监控系统工程安装,B06010200,监控系统工程安装
电子自动化工程安装,B06010300,电子自动化工程安装
电子设备工程安装,B06010400,电子设备工程安装
其他电子工程安装,B06019900,其他电子工程安装
智能化安装工程,B06020000,智能化安装工程
楼宇设备自控系统工程,B06020100,楼宇设备自控系统工程
保安监控和防盗报警系统工程,B06020200,保安监控和防盗报警系统工程
智能卡系统工程,B06020300,智能卡系统工程
通信系统工程,B06020400,通信系统工程
卫星和共用电视系统工程,B06020500,卫星和共用电视系统工程
计算机网络系统工程,B06020600,计算机网络系统工程
广播系统工程,B06020700,广播系统工程
火灾报警系统工程,B06020800,火灾报警系统工程
其他智能化安装工程,B06029900,其他智能化安装工程
电力系统安装,B06030000,电力系统安装
建筑物照明设备安装,B06030100,建筑物照明设备安装
火车站电力系统安装,B06030200,火车站电力系统安装
机场电力系统安装,B06030300,机场电力系统安装
港口电力系统安装,B06030400,港口电力系统安装
工矿企业电力系统安装,B06030500,工矿企业电力系统安装
其他电力系统安装,B06039900,其他电力系统安装
供水管道工程和下水道铺设,B06040000,供水管道工程和下水道铺设
供暖设备安装,B06050000,供暖设备安装
通风和空调设备安装,B06060000,通风和空调设备安装
燃气设备安装,B06070000,燃气设备安装
大型设备安装,B06080000,大型设备安装
机电设备安装,B06080100,机电设备安装
起重设备安装,B06080200,起重设备安装
电梯安装,B06080300,电梯安装
其他大型设备安装,B06089900,其他大型设备安装
其他安装,B06990000,其他安装
装修工程,B07000000,装修工程
修缮工程,B08000000,修缮工程
房屋修缮,B08010000,房屋修缮
工业建筑修缮,B08020000,工业建筑修缮
文物保护建筑修缮,B08030000,文物保护建筑修缮
其他建筑物、构筑物修缮,B08990000,其他建筑物、构筑物修缮
工程设备租赁（带操作员）,B09000000,工程设备租赁（带操作员）
其他建筑工程,B99000000,其他建筑工程
科学研究和试验开发,C01000000,科学研究和试验开发
社会科学研究和试验开发,C01010000,社会科学研究和试验开发
社会学的研究和试验开发服务,C01010100,社会学的研究和试验开发服务
心理学的研究和试验开发服务,C01010200,心理学的研究和试验开发服务
经济学的研究和试验开发服务,C01010300,经济学的研究和试验开发服务
法学的研究和试验开发服务,C01010400,法学的研究和试验开发服务
管理学的研究和试验开发服务,C01010500,管理学的研究和试验开发服务
语言学和语言的研究和试验开发服务,C01010600,语言学和语言的研究和试验开发服务
其他社会科学和试验开发服务,C01019900,其他社会科学和试验开发服务
自然科学研究和试验开发,C01020000,自然科学研究和试验开发
数学的研究和试验开发服务,C01020100,数学的研究和试验开发服务
物理学的研究和试验开发服务,C01020200,物理学的研究和试验开发服务
化学的研究和试验开发服务,C01020300,化学的研究和试验开发服务
其他自然科学研究和试验开发服务,C01029900,其他自然科学研究和试验开发服务
工程学的研究和试验开发,C01030000,工程学的研究和试验开发
工程和技术基础科学研究服务,C01030100,工程和技术基础科学研究服务
测绘科学技术研究服务,C01030200,测绘科学技术研究服务
材料科学研究服务,C01030300,材料科学研究服务
冶金工程技术研究服务,C01030400,冶金工程技术研究服务
机械工程研究服务,C01030500,机械工程研究服务
化学工程研究服务,C01030600,化学工程研究服务
纺织科学技术研究服务,C01030700,纺织科学技术研究服务
食品科学技术研究服务,C01030800,食品科学技术研究服务
矿山工程技术研究服务,C01030900,矿山工程技术研究服务
动力与电力工程研究服务,C01031000,动力与电力工程研究服务
能源科学技术研究服务,C01031100,能源科学技术研究服务
核科学技术研究服务,C01031200,核科学技术研究服务
电子、通信与自动控制技术研究服务,C01031300,电子、通信与自动控制技术研究服务
计算机科学技术研究服务,C01031400,计算机科学技术研究服务
航空、航天科学技术研究服务,C01031500,航空、航天科学技术研究服务
土木建筑工程研究服务,C01031600,土木建筑工程研究服务
水利工程研究服务,C01031700,水利工程研究服务
交通运输工程研究服务,C01031800,交通运输工程研究服务
环境科学技术研究服务,C01031900,环境科学技术研究服务
安全科学技术研究服务,C01032000,安全科学技术研究服务
其他工程和技术的研究与试验开发服务,C01039900,其他工程和技术的研究与试验开发服务
农业科学研究和试验开发服务,C01040000,农业科学研究和试验开发服务
农学研究服务,C01040100,农学研究服务
林学研究服务,C01040200,林学研究服务
畜牧、兽医研究服务,C01040300,畜牧、兽医研究服务
水产学研究服务,C01040400,水产学研究服务
其他农业科学研究与试验发展服务,C01049900,其他农业科学研究与试验发展服务
医学研究和试验开发服务,C01050000,医学研究和试验开发服务
基础医学研究服务,C01050100,基础医学研究服务
临床医学研究服务,C01050200,临床医学研究服务
预防医学与卫生学研究服务,C01050300,预防医学与卫生学研究服务
军事医学与特种医学研究服务,C01050400,军事医学与特种医学研究服务
药学研究服务,C01050500,药学研究服务
中医学与中药学研究服务,C01050600,中医学与中药学研究服务
其他医学研究与试验发展服务,C01059900,其他医学研究与试验发展服务
其他研究和试验开发服务,C01990000,其他研究和试验开发服务
教育服务,C02000000,教育服务
学前教育服务,C02010000,学前教育服务
初等教育服务,C02020000,初等教育服务
中等教育服务,C02030000,中等教育服务
初中教育服务,C02030100,初中教育服务
高中教育服务,C02030200,高中教育服务
中等专业教育服务,C02030300,中等专业教育服务
职业中学教育服务,C02030400,职业中学教育服务
技工学校教育服务,C02030500,技工学校教育服务
其他中等教育服务,C02039900,其他中等教育服务
高等教育服务,C02040000,高等教育服务
成人教育服务,C02050000,成人教育服务
培训服务,C02060000,培训服务
特殊教育服务,C02070000,特殊教育服务
考试服务,C02080000,考试服务
教育课程研究与开发服务,C02090000,教育课程研究与开发服务
学生活动组织实施服务,C02100000,学生活动组织实施服务
教学成果推广应用服务,C02110000,教学成果推广应用服务
社区教育服务,C02120000,社区教育服务
其他教育服务,C02990000,其他教育服务
就业服务,C03000000,就业服务
就业信息咨询服务,C03010000,就业信息咨询服务
就业指导服务,C03020000,就业指导服务
创业指导服务,C03030000,创业指导服务
人才服务,C03040000,人才服务
其他就业服务,C03990000,其他就业服务
医疗卫生服务,C04000000,医疗卫生服务
医院服务,C04010000,医院服务
综合医院服务,C04010100,综合医院服务
中医医院服务,C04010200,中医医院服务
中西医结合医院服务,C04010300,中西医结合医院服务
专科医院服务,C04010400,专科医院服务
民族医院服务,C04010500,民族医院服务
疗养院服务,C04010600,疗养院服务
其他医院服务,C04019900,其他医院服务
卫生院和社区医疗服务,C04020000,卫生院和社区医疗服务
门诊服务,C04030000,门诊服务
生育技术服务,C04040000,生育技术服务
专科疾病防控服务,C04050000,专科疾病防控服务
传染病防控服务,C04050100,传染病防控服务
职业病防控服务,C04050200,职业病防控服务
地方病防控服务,C04050300,地方病防控服务
其他专科疾病防控服务,C04059900,其他专科疾病防控服务
妇幼保健服务,C04060000,妇幼保健服务
健康检查服务,C04070000,健康检查服务
体检服务,C04070100,体检服务
其他健康检查服务,C04079900,其他健康检查服务
康复服务,C04080000,康复服务
预防接种服务,C04090000,预防接种服务
戒毒服务,C04100000,戒毒服务
公共卫生事件防控服务,C04110000,公共卫生事件防控服务
其他医疗卫生服务,C04990000,其他医疗卫生服务
社会服务,C05000000,社会服务
社会保障服务,C05010000,社会保障服务
托育服务,C05010100,托育服务
儿童福利服务,C05010200,儿童福利服务
未成年人关爱保护服务,C05010300,未成年人关爱保护服务
养老服务,C05010400,养老服务
社会救助服务,C05010500,社会救助服务
扶贫济困服务,C05010600,扶贫济困服务
优抚安置服务,C05010700,优抚安置服务
残疾人服务,C05010800,残疾人服务
流浪乞讨人员救助管理服务,C05010900,流浪乞讨人员救助管理服务
法律援助服务,C05011000,法律援助服务
其他社会保障服务,C05019900,其他社会保障服务
社会治理服务,C05020000,社会治理服务
社区治理服务,C05020100,社区治理服务
社会组织建设与管理服务,C05020200,社会组织建设与管理服务
社会工作服务,C05020300,社会工作服务
人民调解服务,C05020400,人民调解服务
志愿服务活动管理服务,C05020500,志愿服务活动管理服务
慈善事业管理服务,C05020600,慈善事业管理服务
其他社会治理服务,C05029900,其他社会治理服务
灾害防治和应急管理服务,C05030000,灾害防治和应急管理服务
防灾减灾预警预报服务,C05030100,防灾减灾预警预报服务
防灾救灾物资储备供应服务,C05030200,防灾救灾物资储备供应服务
灾害救援救助服务,C05030300,灾害救援救助服务
灾后管理服务,C05030400,灾后管理服务
应急救治服务,C05030500,应急救治服务
其他灾害防治和应急管理服务,C05039900,其他灾害防治和应急管理服务
安全服务,C05040000,安全服务
公共安全服务,C05040100,公共安全服务
食品药品安全服务,C05040200,食品药品安全服务
保安服务,C05040300,保安服务
特种保安服务,C05040400,特种保安服务
道路交通协管服务,C05040500,道路交通协管服务
社会治安协管服务,C05040600,社会治安协管服务
其他安全保护服务,C05049900,其他安全保护服务
其他社会服务,C05990000,其他社会服务
文化、体育、娱乐服务,C06000000,文化、体育、娱乐服务
新闻服务,C06010000,新闻服务
广播、电视、电影和音像服务,C06020000,广播、电视、电影和音像服务
广播服务,C06020100,广播服务
电视服务,C06020200,电视服务
电影服务,C06020300,电影服务
音像制作服务,C06020400,音像制作服务
广播电视传输服务,C06020500,广播电视传输服务
文化艺术服务,C06030000,文化艺术服务
艺术创作、表演和交流服务,C06030100,艺术创作、表演和交流服务
艺术表演场馆服务,C06030200,艺术表演场馆服务
图书馆和档案馆服务,C06030300,图书馆和档案馆服务
文物和文化保护服务,C06030400,文物和文化保护服务
博物馆服务,C06030500,博物馆服务
烈士陵园和纪念馆服务,C06030600,烈士陵园和纪念馆服务
群众文化活动服务,C06030700,群众文化活动服务
文化艺术经纪代理服务,C06030800,文化艺术经纪代理服务
其他文化艺术服务,C06039900,其他文化艺术服务
体育服务,C06040000,体育服务
体育组织服务,C06040100,体育组织服务
体育场馆服务,C06040200,体育场馆服务
其他体育服务,C06049900,其他体育服务
娱乐服务,C06050000,娱乐服务
室内娱乐服务,C06050100,室内娱乐服务
游乐园服务,C06050200,游乐园服务
休闲健身娱乐服务,C06050300,休闲健身娱乐服务
其他娱乐服务,C06059900,其他娱乐服务
其他文化、体育、娱乐服务,C06990000,其他文化、体育、娱乐服务
生态环境保护和治理服务,C07000000,生态环境保护和治理服务
生态环境保护服务,C07010000,生态环境保护服务
生态资源调查与监测服务,C07010100,生态资源调查与监测服务
碳汇监测与评估服务,C07010200,碳汇监测与评估服务
生态环境舆情监控服务,C07010300,生态环境舆情监控服务
生态环境成果交流与管理服务,C07010400,生态环境成果交流与管理服务
其他生态环境保护服务,C07019900,其他生态环境保护服务
生态环境治理服务,C07020000,生态环境治理服务
水污染治理服务,C07020100,水污染治理服务
污水治理及其再生利用服务,C07020101,污水治理及其再生利用服务
城镇水域治理服务,C07020102,城镇水域治理服务
海洋水域污染治理服务,C07020103,海洋水域污染治理服务
江、湖治理服务,C07020104,江、湖治理服务
水库污染治理服务,C07020105,水库污染治理服务
地下水污染治理服务,C07020106,地下水污染治理服务
其他水污染治理服务,C07020199,其他水污染治理服务
空气污染治理服务,C07020200,空气污染治理服务
大气污染治理服务,C07020201,大气污染治理服务
汽车尾气污染治理服务,C07020202,汽车尾气污染治理服务
燃烧煤烟污染治理服务,C07020203,燃烧煤烟污染治理服务
制造业废气污染治理服务,C07020204,制造业废气污染治理服务
工矿粉尘污染治理服务,C07020205,工矿粉尘污染治理服务
建筑工地粉尘污染治理服务,C07020206,建筑工地粉尘污染治理服务
其他空气污染治理服务,C07020299,其他空气污染治理服务
噪声与振动污染治理服务,C07020300,噪声与振动污染治理服务
工业噪声污染治理服务,C07020301,工业噪声污染治理服务
建筑施工噪声污染治理服务,C07020302,建筑施工噪声污染治理服务
交通运输噪声污染治理服务,C07020303,交通运输噪声污染治理服务
社会生活噪声污染治理服务,C07020304,社会生活噪声污染治理服务
振动污染治理服务,C07020305,振动污染治理服务
其他噪声与振动污染治理服务,C07020399,其他噪声与振动污染治理服务
危险废物治理服务,C07020400,危险废物治理服务
医疗和药物废弃物治理服务,C07020401,医疗和药物废弃物治理服务
化工产品废弃物治理服务,C07020402,化工产品废弃物治理服务
矿物油废弃物治理服务,C07020403,矿物油废弃物治理服务
金属矿物质变废弃物治理服务,C07020404,金属矿物质变废弃物治理服务
废旧机械设备治理服务,C07020405,废旧机械设备治理服务
非金属矿物质变废弃物治理服务,C07020406,非金属矿物质变废弃物治理服务
工业焚烧残渣物治理服务,C07020407,工业焚烧残渣物治理服务
爆炸性废弃物治理服务,C07020408,爆炸性废弃物治理服务
其他危险废弃物治理服务,C07020499,其他危险废弃物治理服务
无害固体废物处理服务,C07020500,无害固体废物处理服务
光污染治理服务,C07020600,光污染治理服务
辐射污染治理服务,C07020700,辐射污染治理服务
地质灾害治理服务,C07020800,地质灾害治理服务
农业农村环境治理服务,C07020900,农业农村环境治理服务
其他生态环境治理服务,C07029900,其他生态环境治理服务
其他生态环境保护和治理服务,C07990000,其他生态环境保护和治理服务
能源的生产和分配服务,C08000000,能源的生产和分配服务
电力的生产和分配服务,C08010000,电力的生产和分配服务
电力生产服务,C08010100,电力生产服务
火力发电生产服务,C08010101,火力发电生产服务
水力发电生产服务,C08010102,水力发电生产服务
核力发电生产服务,C08010103,核力发电生产服务
风力发电生产服务,C08010104,风力发电生产服务
其他能源发电生产服务,C08010199,其他能源发电生产服务
电力分配服务,C08010200,电力分配服务
热力生产和分配服务,C08020000,热力生产和分配服务
暖气生产和分配服务,C08020100,暖气生产和分配服务
其他热力生产和分配服务,C08029900,其他热力生产和分配服务
燃气生产和分配,C08030000,燃气生产和分配
水的生产和分配,C08040000,水的生产和分配
其他能源的生产和分配,C08990000,其他能源的生产和分配
农林牧渔服务,C09000000,农林牧渔服务
农业服务,C09010000,农业服务
灌溉系统服务,C09010100,灌溉系统服务
农产品初加工服务,C09010200,农产品初加工服务
农业机械服务,C09010300,农业机械服务
农业绿色发展和可持续发展服务,C09010400,农业绿色发展和可持续发展服务
农业资源与环境保护服务,C09010500,农业资源与环境保护服务
农作物病虫害防治服务,C09010600,农作物病虫害防治服务
外来入侵生物综合防治服务,C09010700,外来入侵生物综合防治服务
公益性农机作业服务,C09010800,公益性农机作业服务
农产品质量安全服务,C09010900,农产品质量安全服务
其他农业服务,C09019900,其他农业服务
林业服务,C09020000,林业服务
造林服务,C09020100,造林服务
林木抚育管理服务,C09020200,林木抚育管理服务
林业机械服务,C09020300,林业机械服务
林业有害生物防治服务,C09020400,林业有害生物防治服务
森林防火服务,C09020500,森林防火服务
森业经营与管理服务,C09020600,森业经营与管理服务
林区管理服务,C09020700,林区管理服务
其他林业服务,C09029900,其他林业服务
畜牧业服务,C09030000,畜牧业服务
兽医和动物病防治服务,C09030100,兽医和动物病防治服务
畜牧业机械服务,C09030200,畜牧业机械服务
其他畜牧业服务,C09039900,其他畜牧业服务
渔业服务,C09040000,渔业服务
鱼苗、鱼种培育和养殖服务,C09040100,鱼苗、鱼种培育和养殖服务
渔业机械服务,C09040200,渔业机械服务
渔业船舶检验监管服务,C09040300,渔业船舶检验监管服务
其他渔业服务,C09049900,其他渔业服务
其他农林牧渔服务,C09990000,其他农林牧渔服务
采矿业和制造业服务,C10000000,采矿业和制造业服务
采矿业服务,C10010000,采矿业服务
制造业服务,C10020000,制造业服务
金属制品的制造业服务和金属加工服务,C10020100,金属制品的制造业服务和金属加工服务
运输设备制造业服务,C10020200,运输设备制造业服务
机械和设备制造业服务,C10020300,机械和设备制造业服务
食品、饮料和烟草制造业服务,C10020400,食品、饮料和烟草制造业服务
纺织品、服装和皮革制品制造业服务,C10020500,纺织品、服装和皮革制品制造业服务
木材和软木制品及草编织品和编制材料制造业服务,C10020600,木材和软木制品及草编织品和编制材料制造业服务
纸和纸制品制造业服务,C10020700,纸和纸制品制造业服务
焦炭、精炼石油制品和核燃料制造业服务,C10020800,焦炭、精炼石油制品和核燃料制造业服务
化学和化学制品制造业服务,C10020900,化学和化学制品制造业服务
橡胶和塑料制片制造业服务,C10021000,橡胶和塑料制片制造业服务
非金属矿产品制造业服务,C10021100,非金属矿产品制造业服务
其他制造业服务,C10029900,其他制造业服务
工程管理服务,C11000000,工程管理服务
工程勘探服务,C11010000,工程勘探服务
工程设计服务,C11020000,工程设计服务
装修设计服务,C11030000,装修设计服务
工程项目管理服务,C11040000,工程项目管理服务
工程总承包服务,C11050000,工程总承包服务
房屋工程总承包服务,C11050100,房屋工程总承包服务
铁路工程总承包服务,C11050200,铁路工程总承包服务
公路工程总承包服务,C11050300,公路工程总承包服务
机场跑道工程总承包服务,C11050400,机场跑道工程总承包服务
高速公路工程总承包服务,C11050500,高速公路工程总承包服务
城市道路工程总承包服务,C11050600,城市道路工程总承包服务
城市轨道交通工程总承包服务,C11050700,城市轨道交通工程总承包服务
桥梁工程总承包服务,C11050800,桥梁工程总承包服务
隧道工程总承包服务,C11050900,隧道工程总承包服务
水利工程总承包服务,C11051000,水利工程总承包服务
水运工程总承包服务,C11051100,水运工程总承包服务
海洋工程总承包服务,C11051200,海洋工程总承包服务
长距离管道、通信和电力工程总承包服务,C11051300,长距离管道、通信和电力工程总承包服务
室内管道、电缆及有关工程总承包服务,C11051400,室内管道、电缆及有关工程总承包服务
矿山、工农林牧副渔业工程总承包服务,C11051500,矿山、工农林牧副渔业工程总承包服务
公共设施工程总承包服务,C11051600,公共设施工程总承包服务
环保工程总承包服务,C11051700,环保工程总承包服务
高耸构筑物工程总承包服务,C11051800,高耸构筑物工程总承包服务
其他工程总承包服务,C11059900,其他工程总承包服务
其他工程管理服务,C11990000,其他工程管理服务
水利管理服务,C12000000,水利管理服务
防洪管理服务,C12010000,防洪管理服务
水资源管理服务,C12020000,水资源管理服务
水库管理服务,C12020100,水库管理服务
调水引水管理服务,C12020200,调水引水管理服务
水文水资源监测服务,C12020300,水文水资源监测服务
水资源保护服务,C12020400,水资源保护服务
其他水资源管理服务,C12029900,其他水资源管理服务
其他水利管理服务,C12990000,其他水利管理服务
公共设施管理服务,C13000000,公共设施管理服务
区域规划和设计服务,C13010000,区域规划和设计服务
市政公用设施管理服务,C13020000,市政公用设施管理服务
园林绿化管理服务,C13030000,园林绿化管理服务
市容管理服务,C13040000,市容管理服务
城镇公共卫生服务,C13050000,城镇公共卫生服务
清扫服务,C13050100,清扫服务
垃圾处理服务,C13050200,垃圾处理服务
公共厕所服务,C13050300,公共厕所服务
排泄物的处理服务,C13050400,排泄物的处理服务
其他城镇公共卫生服务,C13059900,其他城镇公共卫生服务
其他公共设施管理服务,C13990000,其他公共设施管理服务
公园和游览景区服务,C14000000,公园和游览景区服务
公园服务,C14010000,公园服务
风景名胜区服务,C14020000,风景名胜区服务
其他公园和游览景区服务,C14990000,其他公园和游览景区服务
交通运输和仓储服务,C15000000,交通运输和仓储服务
铁路运输服务,C15010000,铁路运输服务
铁路客运服务,C15010100,铁路客运服务
铁路货运服务,C15010200,铁路货运服务
火车站服务,C15010300,火车站服务
铁路管理和养护服务,C15010400,铁路管理和养护服务
其他铁路运输服务,C15019900,其他铁路运输服务
道路运输服务,C15020000,道路运输服务
道路客运服务,C15020100,道路客运服务
道路货运服务,C15020200,道路货运服务
汽车站服务,C15020300,汽车站服务
公路管理和养护服务,C15020400,公路管理和养护服务
其他道路运输服务,C15029900,其他道路运输服务
城市交通服务,C15030000,城市交通服务
公共汽电车客运服务,C15030100,公共汽电车客运服务
城市轨道交通服务,C15030200,城市轨道交通服务
出租车客运服务,C15030300,出租车客运服务
城市轮渡服务,C15030400,城市轮渡服务
城市交通管理和养护服务,C15030500,城市交通管理和养护服务
其他城市交通服务,C15039900,其他城市交通服务
水上运输服务,C15040000,水上运输服务
水上旅客运输服务,C15040100,水上旅客运输服务
水上货物运输服务,C15040200,水上货物运输服务
港口服务,C15040300,港口服务
航道管理和养护服务,C15040400,航道管理和养护服务
其他水上运输服务,C15049900,其他水上运输服务
航空运输服务,C15050000,航空运输服务
航空旅客运输服务,C15050100,航空旅客运输服务
航空货物运输服务,C15050200,航空货物运输服务
通用航空服务,C15050300,通用航空服务
机场服务,C15050400,机场服务
其他航空运输服务,C15059900,其他航空运输服务
航天运输服务,C15060000,航天运输服务
管道运输服务,C15070000,管道运输服务
原油及成品油管道运输服务,C15070100,原油及成品油管道运输服务
水管道运输服务,C15070200,水管道运输服务
其他液体管道运输服务,C15070300,其他液体管道运输服务
天然气管道运输服务,C15070400,天然气管道运输服务
其他气体管道运输服务,C15079900,其他气体管道运输服务
交通运输管理服务,C15080000,交通运输管理服务
装卸搬运服务,C15090000,装卸搬运服务
仓储服务,C15100000,仓储服务
其他交通运输、仓储服务,C15990000,其他交通运输、仓储服务
信息技术服务,C16000000,信息技术服务
软件开发服务,C16010000,软件开发服务
基础软件开发服务,C16010100,基础软件开发服务
支撑软件开发服务,C16010200,支撑软件开发服务
应用软件开发服务,C16010300,应用软件开发服务
通用应用软件开发服务,C16010301,通用应用软件开发服务
行业应用软件开发服务,C16010302,行业应用软件开发服务
嵌入式软件开发服务,C16010400,嵌入式软件开发服务
信息安全软件开发服务,C16010500,信息安全软件开发服务
信息系统集成实施服务,C16020000,信息系统集成实施服务
基础环境集成实施服务,C16020100,基础环境集成实施服务
硬件集成实施服务,C16020200,硬件集成实施服务
软件集成实施服务,C16020300,软件集成实施服务
安全集成实施服务,C16020400,安全集成实施服务
其他系统集成实施服务,C16029900,其他系统集成实施服务
数据处理服务,C16030000,数据处理服务
存储服务,C16030100,存储服务
数据加工处理服务,C16030200,数据加工处理服务
数字内容加工处理服务,C16030300,数字内容加工处理服务
其他数据处理服务,C16039900,其他数据处理服务
云计算服务,C16040000,云计算服务
信息化工程监理服务,C16050000,信息化工程监理服务
测试评估认证服务,C16060000,测试评估认证服务
运行维护服务,C16070000,运行维护服务
基础环境运维服务,C16070100,基础环境运维服务
硬件运维服务,C16070200,硬件运维服务
软件运维服务,C16070300,软件运维服务
安全运维服务,C16070400,安全运维服务
其他运行维护服务,C16079900,其他运行维护服务
运营服务,C16080000,运营服务
软件运营服务,C16080100,软件运营服务
平台运营服务,C16080200,平台运营服务
基础设施运营服务,C16080300,基础设施运营服务
其他运营服务,C16089900,其他运营服务
信息技术咨询服务,C16090000,信息技术咨询服务
信息化规划服务,C16090100,信息化规划服务
信息系统设计服务,C16090200,信息系统设计服务
信息技术管理咨询服务,C16090300,信息技术管理咨询服务
其他信息技术咨询服务,C16099900,其他信息技术咨询服务
呼叫中心服务,C16100000,呼叫中心服务
其他信息技术服务,C16990000,其他信息技术服务
电信和其他信息传输服务,C17000000,电信和其他信息传输服务
电信服务,C17010000,电信服务
基础电信服务,C17010100,基础电信服务
网络接入服务,C17010200,网络接入服务
其他增值电信服务,C17010300,其他增值电信服务
互联网信息服务,C17020000,互联网信息服务
卫星传输服务,C17030000,卫星传输服务
其他电信和信息传输服务,C17990000,其他电信和信息传输服务
金融服务,C18000000,金融服务
银行服务,C18010000,银行服务
